 (-2.969657879310931387e-15+6.752987243753352939e-11j), (-2.270859569920338241e-18-3.723402822584371437e-15j), (-8.554752922394044825e-19-7.797586317871787022e-15j), (-2.270859569920338241e-18-3.723402822584371437e-15j), (-4.779160649151593527e-15+9.378632834968943422e-11j), (-1.246839348449144636e-18+9.553093199650779763e-16j), (-8.554752922394044825e-19-7.797586317871787022e-15j), (-1.246839348449144636e-18+9.553093199650779763e-16j), (-4.774109825702387371e-15+9.371591688582075975e-11j)
 (-4.542495095201647728e-14+2.587195512939520905e-10j), (-3.334773412416490275e-17-1.426513848945328309e-14j), (-1.256652780729206329e-17-2.987411129788775666e-14j), (-3.334773412416490275e-17-1.426513848945328309e-14j), (-7.198359452293268453e-14+3.593129335873183243e-10j), (-1.830557747680821053e-17+3.660095088487209085e-15j), (-1.256652780729206329e-17-2.987411129788775666e-14j), (-1.830557747680821053e-17+3.660095088487209085e-15j), (-7.190945516329932876e-14+3.590431737422384933e-10j)
 (-6.685828091288505284e-13+9.912024936469139794e-10j), (-4.894893987384440772e-16-5.465331036821277068e-14j), (-1.844510077579704194e-16-1.144538022181987160e-13j), (-4.894893987384440772e-16-5.465331036821277068e-14j), (-1.058407997240822126e-12+1.376594173778298476e-09j), (-2.686966490832026878e-16+1.402272519607652442e-14j), (-1.844510077579704194e-16-1.144538022181987160e-13j), (-2.686966490832026878e-16+1.402272519607652442e-14j), (-1.057319761309296981e-12+1.375560674609134374e-09j)
 (-9.815217761668385990e-12+3.797456727968855883e-09j), (-7.184561245016263856e-15-2.094261996623934827e-13j), (-2.707306133042141613e-15-4.385133944146076201e-13j), (-7.184561245016263856e-15-2.094261996623934827e-13j), (-1.553698851351587146e-11+5.273943889167755644e-09j), (-3.943882264141414922e-15+5.371023637158242886e-14j), (-2.707306133042141613e-15-4.385133944146076201e-13j), (-3.943882264141414922e-15+5.371023637158242886e-14j), (-1.552101560142579757e-11+5.269984398116068227e-09j)
 (-1.440542902368677867e-10+1.454734756994004921e-08j), (-1.054168599521982013e-13-8.045801061726980446e-13j), (-3.971426881833268268e-14-1.681193804255522549e-12j), (-1.054168599521982013e-13-8.045801061726980446e-13j), (-2.280221516318364687e-10+2.020290007789887743e-08j), (-5.787775759356885409e-14+2.049320489085179790e-13j), (-3.971426881833268268e-14-1.681193804255522549e-12j), (-5.787775759356885409e-14+2.049320489085179790e-13j), (-2.277877223430019563e-10+2.018773292647048212e-08j)
 (-2.111153054295709637e-09+5.565396212268691003e-08j), (-1.539120033145473294e-12-3.207489225200641437e-12j), (-5.778599629105661312e-13-6.506449683357503554e-12j), (-1.539120033145473294e-12-3.207489225200641437e-12j), (-3.340145111020423468e-09+7.725719803125291357e-08j), (-8.471777354919643729e-13+7.387384364057985259e-13j), (-5.778599629105661312e-13-6.506449683357503554e-12j), (-8.471777354919643729e-13+7.387384364057985259e-13j), (-3.336708893556166052e-09+7.719922225253776447e-08j)
 (-3.029878902261316028e-08+2.088505204166920626e-07j), (-2.090685006978896607e-11-1.893725125349404264e-11j), (-7.448468867745621003e-12-2.835321786709813890e-11j), (-2.090685006978896607e-11-1.893725125349404264e-11j), (-4.761541685522752793e-08+2.881495605089242762e-07j), (-1.194529377795732704e-11+3.156810789842828744e-13j), (-7.448468867745621003e-12-2.835321786709813890e-11j), (-1.194529377795732704e-11+3.156810789842828744e-13j), (-4.756598967897489087e-08+2.879347810696074108e-07j)
 (-3.360979284813187430e-07+6.198238333718855092e-07j), (-1.010587814526394207e-10-2.595600447540218958e-10j), (3.376344030822952090e-12-1.817427904762300369e-10j), (-1.010587814526394207e-10-2.595600447540218958e-10j), (-4.931307771300247806e-07+8.047858198294592596e-07j), (-1.063749593151654972e-10-9.016129283211880141e-11j), (3.376344030822952090e-12-1.817427904762300369e-10j), (-1.063749593151654972e-10-9.016129283211880141e-11j), (-4.925871437105538155e-07+8.042857245986937507e-07j)
 (-1.150788917042694258e-06+6.912779913411073130e-07j), (5.399247721424505021e-10-7.111808173298196770e-10j), (2.240931364031275049e-10-2.892326488191253431e-10j), (5.399247721424505021e-10-7.111808173298196770e-10j), (-1.481233695028131916e-06+8.197972954032523785e-07j), (1.352797424483148217e-10-7.612305278393111306e-10j), (2.240931364031275049e-10-2.892326488191253431e-10j), (1.352797424483148217e-10-7.612305278393111306e-10j), (-1.480209853380283793e-06+8.204801531742107731e-07j)
 (-1.659440742949681409e-06+4.519887315681863810e-07j), (1.394264074417684864e-09-4.225139573906778684e-10j), (7.823892380967853647e-10-5.389136500226297781e-10j), (1.394264074417684864e-09-4.225139573906778684e-10j), (-2.070527857783898560e-06+5.297790352019854519e-07j), (1.388429927427880469e-09-5.216229551921189372e-10j), (7.823892380967853647e-10-5.389136500226297781e-10j), (1.388429927427880469e-09-5.216229551921189372e-10j), (-2.071093965154994306e-06+5.309568520280487022e-07j)
 (-1.937681989733193293e-06+2.669207315927877648e-07j), (1.282519751710315812e-09+3.667975402326466841e-10j), (1.134854435319289516e-09-2.411630923125384835e-10j), (1.282519751710315812e-09+3.667975402326466841e-10j), (-2.394363173584085575e-06+3.103278446428739868e-07j), (1.282077964869486321e-09+1.781254067354996169e-10j), (1.134854435319289516e-09-2.411630923125384835e-10j), (1.282077964869486321e-09+1.781254067354996169e-10j), (-2.395700894031475168e-06+3.110916188396348635e-07j)
 (-2.085475655647694409e-06+1.494178294342457705e-07j), (6.374261218367112513e-10+6.776459974481512210e-10j), (1.240576243509512966e-09-2.076141386123152965e-10j), (6.374261218367112513e-10+6.776459974481512210e-10j), (-2.564489215650727683e-06+1.725590507096979100e-07j), (7.885290932097296569e-10+6.022491982695114995e-10j), (1.240576243509512966e-09-2.076141386123152965e-10j), (7.885290932097296569e-10+6.022491982695114995e-10j), (-2.566419279756528171e-06+1.731733131743695760e-07j)
