 (9.309066285868544554e-07+2.783726558868496335e-11j), (1.003094453717326150e-11+1.761626639032026496e-14j), (2.290634421110405751e-11+1.778794710580556857e-15j), (1.003094453717326150e-11+1.761626639032026496e-14j), (9.082301894092910561e-07+2.748953294240344183e-11j), (-1.522457621194873603e-08-2.133883745096651382e-12j), (2.290634421110405751e-11+1.778794710580556857e-15j), (-1.522457621194873603e-08-2.133883745096651382e-12j), (4.077837093193735846e-07+3.668461456697817867e-11j)
 (9.309066080878475801e-07+1.066497609194609513e-10j), (1.003089077536024153e-11+6.749116117102063666e-14j), (2.290642616947616297e-11+6.814973125654359933e-15j), (1.003089077536024153e-11+6.749116117102063666e-14j), (9.082301673293162430e-07+1.053175306772625020e-10j), (-1.522457082989355412e-08-8.175303191342243780e-12j), (2.290642616947616297e-11+6.814973125654359933e-15j), (-1.522457082989355412e-08-8.175303191342243780e-12j), (4.077835984903178244e-07+1.405455133444555425e-10j)
 (9.309063072038812141e-07+4.085948842274789947e-10j), (1.003010169053070495e-11+2.585686082473204157e-13j), (2.290762917947245948e-11+2.611392656561873293e-14j), (1.003010169053070495e-11+2.585686082473204157e-13j), (9.082298432401499211e-07+4.034907768567165467e-10j), (-1.522449183303310619e-08-3.132088073316463306e-11j), (2.290762917947245948e-11+2.611392656561873293e-14j), (-1.522449183303310619e-08-3.132088073316463306e-11j), (4.077819717656185414e-07+5.384505384727185977e-10j)
 (9.309018908920034398e-07+1.565387752911015268e-09j), (1.001852119109770846e-11+9.904761612817558612e-13j), (2.292528387439101498e-11+1.002998758535447760e-13j), (1.001852119109770846e-11+9.904761612817558612e-13j), (9.082250863722868514e-07+1.545828218985855225e-09j), (-1.522333247282959032e-08-1.199830263726518558e-10j), (2.292528387439101498e-11+1.002998758535447760e-13j), (-1.522333247282959032e-08-1.199830263726518558e-10j), (4.077580988772995278e-07+2.062590668942684811e-09j)
 (9.308370813804076732e-07+5.996416255688539170e-09j), (9.848903477513304033e-12+3.786363800764751303e-12j), (2.318376422371212035e-11+3.984395256143604251e-13j), (9.848903477513304033e-12+3.786363800764751303e-12j), (9.081552889085716452e-07+5.921213615767060859e-09j), (-1.520634871956781861e-08-4.589411628962866470e-10j), (2.318376422371212035e-11+3.984395256143604251e-13j), (-1.520634871956781861e-08-4.589411628962866470e-10j), (4.074085843334335322e-07+7.884560834954680442e-09j)
 (9.298886136271157402e-07+2.292426717322632398e-08j), (7.435160628546416872e-12+1.404945724271850135e-11j), (2.684069464447498590e-11+2.299707763037061576e-12j), (7.435160628546416872e-12+1.404945724271850135e-11j), (9.071358692757130943e-07+2.262150450435165977e-08j), (-1.496401275438423670e-08-1.718135229583789261e-09j), (2.684069464447498590e-11+2.299707763037061576e-12j), (-1.496401275438423670e-08-1.718135229583789261e-09j), (4.024634049227111904e-07+2.925312396706170485e-08j)
 (9.165354986179542112e-07+8.520034877261390341e-08j), (-1.596301653215172076e-11+3.547492740706671615e-11j), (5.997289458389919874e-11+3.866813995158011009e-11j), (-1.596301653215172076e-11+3.547492740706671615e-11j), (8.931112340689685570e-07+8.342515837805088002e-08j), (-1.242511802669471150e-08-5.014815889874478600e-09j), (5.997289458389919874e-11+3.866813995158011009e-11j), (-1.242511802669471150e-08-5.014815889874478600e-09j), (3.554252446406125066e-07+7.752864151890319670e-08j)
 (7.896858274563399292e-07+2.370767927125195484e-07j), (-9.812923213883445025e-12+4.438425486425811060e-11j), (-1.401761703954620745e-11+3.098103457444819639e-10j), (-9.812923213883445025e-12+4.438425486425811060e-11j), (7.696842322817533269e-07+2.267846938805779404e-07j), (-5.677984066189905188e-09-5.402415359228506895e-09j), (-1.401761703954620745e-11+3.098103457444819639e-10j), (-5.677984066189905188e-09-5.402415359228506895e-09j), (2.686860765604233212e-07+7.196689310105046891e-08j)
 (4.825556448211671839e-07+2.649039816122069707e-07j), (-2.021670488176727532e-10+2.067355045580998620e-10j), (-6.985231390556809049e-10+2.493935431825847020e-10j), (-2.021670488176727532e-10+2.067355045580998620e-10j), (4.782154861572529244e-07+2.556582381307705201e-07j), (-2.211262365865718711e-09-2.743097000804176765e-09j), (-6.985231390556809049e-10+2.493935431825847020e-10j), (-2.211262365865718711e-09-2.743097000804176765e-09j), (2.191746879026883902e-07+6.439154281047860984e-08j)
 (2.967776323869164190e-07+1.520201665573588767e-07j), (-3.258515590604783214e-10-1.721348471139929500e-10j), (-3.434039840279599428e-10-4.225075744152715819e-10j), (-3.258515590604783214e-10-1.721348471139929500e-10j), (2.947789460535064209e-07+1.504857077841070393e-07j), (-8.816397800729115453e-10-1.308555111227581328e-09j), (-3.434039840279599428e-10-4.225075744152715819e-10j), (-8.816397800729115453e-10-1.308555111227581328e-09j), (1.606203121186821126e-07+6.510210181758867116e-08j)
 (2.301133298816754231e-07+1.108505156318278078e-07j), (5.665297476768695619e-11-1.450170045156900975e-10j), (7.662697528741681868e-11-1.528870212221954539e-10j), (5.665297476768695619e-11-1.450170045156900975e-10j), (2.275767800050547713e-07+1.095269800200276496e-07j), (-4.361206808995577468e-10-5.995290812337993714e-10j), (7.662697528741681868e-11-1.528870212221954539e-10j), (-4.361206808995577468e-10-5.995290812337993714e-10j), (1.143441747307990667e-07+5.869220096825312733e-08j)
 (1.153481541680948111e-07+1.465302587848444090e-07j), (1.989696181094893851e-11+1.740830893787901145e-11j), (1.221407080101584235e-11+1.382601832573999579e-11j), (1.989696181094893851e-11+1.740830893787901145e-11j), (1.148437201685804504e-07+1.452890125168696841e-07j), (2.519039264643685284e-11-3.834528564970781613e-10j), (1.221407080101584235e-11+1.382601832573999579e-11j), (2.519039264643685284e-11-3.834528564970781613e-10j), (6.044273413133563012e-08+9.224775853798421713e-08j)
 (-1.221908480581679924e-08+1.101968505706774922e-07j), (2.686584991242797695e-12-4.472934831403953506e-12j), (-5.406810492928637665e-12-2.319471043314806878e-12j), (2.686584991242797695e-12-4.472934831403953506e-12j), (-1.256928685535140977e-08+1.100522723028351690e-07j), (9.861368049908540744e-11+5.847749713676463113e-11j), (-5.406810492928637665e-12-2.319471043314806878e-12j), (9.861368049908540744e-11+5.847749713676463113e-11j), (-4.257628619010895023e-08+9.320359960163389024e-08j)
