 (2.246920527315549483e-06+9.201141309470277957e-11j), (1.595215748846004601e-12+2.790321935563159744e-21j), (3.445561793153445476e-19+2.794552594259674573e-32j)
 (2.246920512898152560e-06+1.391005563655713094e-10j), (1.595215724392110197e-12+6.377179600187649153e-21j), (3.445561690225761050e-19+9.655478306268750386e-32j)
 (2.246920479947771737e-06+2.102887392023622735e-10j), (1.595215668503725821e-12+1.457481170851116700e-20j), (3.445561454988753561e-19+3.336070769002836038e-31j)
 (2.246920404640980684e-06+3.179092245388022466e-10j), (1.595215540773050277e-12+3.331019598592449630e-20j), (3.445560917364021952e-19+1.152647784821973043e-30j)
 (2.246920232530310547e-06+4.806070710889291318e-10j), (1.595215248849727231e-12+7.612919963017747216e-20j), (3.445559688644529150e-19+3.982518137677819394e-30j)
 (2.246919839178605901e-06+7.265692039801257812e-10j), (1.595214581671410197e-12+1.739902756900607701e-19j), (3.445556880459313674e-19+1.375999879255524828e-29j)
 (2.246918940192086028e-06+1.098407188968383589e-09j), (1.595213056868067468e-12+3.976471346224805596e-19j), (3.445550462493577041e-19+4.754204576932189499e-29j)
 (2.246916885613778479e-06+1.660537624098383063e-09j), (1.595209572028082011e-12+9.088010888883075623e-19j), (3.445535794665519924e-19+1.642610811532343068e-28j)
 (2.246912190067327258e-06+2.510335262619059598e-09j), (1.595201607773709730e-12+2.076995131237787872e-18j), (3.445502272909828337e-19+5.675255414280307950e-28j)
 (2.246901459179615383e-06+3.794978933061421555e-09j), (1.595183406910547564e-12+4.746704502464824073e-18j), (3.445425665535825602e-19+1.960750161980037551e-27j)
 (2.246876937326529632e-06+5.736866656443386277e-09j), (1.595141815507131352e-12+1.084741464243601592e-17j), (3.445250610254732914e-19+6.773722074489362197e-27j)
 (2.246820910234936093e-06+8.671857675416113579e-09j), (1.595046791234268624e-12+2.478611646794498207e-17j), (3.444850674419139439e-19+2.339698956901050728e-26j)
 (2.246692949566344612e-06+1.310646564857004170e-08j), (1.594829780400817772e-12+5.662033496359365987e-17j), (3.443937400833022561e-19+8.078430347586538992e-26j)
 (2.246400954621837451e-06+1.980219070372303122e-08j), (1.594334663070486838e-12+1.292606978067832745e-16j), (3.441854135003285826e-19+2.786865800557991956e-25j)
 (2.245735972434744733e-06+2.989573712178961724e-08j), (1.593207522573533143e-12+2.946769842434266179e-16j), (3.437113624501827679e-19+9.594983711495539468e-25j)
 (2.244228368467586362e-06+4.505632354667003190e-08j), (1.590654356087891364e-12+6.696296504670207040e-16j), (3.426386258082652555e-19+3.288665696108946010e-24j)
 (2.240844754109493547e-06+6.764437819187895735e-08j), (1.584935424765767426e-12+1.510806189119008114e-15j), (3.402412328459318010e-19+1.115856104172391625e-23j)
 (2.233416194905055295e-06+1.007161329750008212e-07j), (1.572436050116374633e-12+3.355744307042896114e-15j), (3.350286607497070164e-19+3.702949450279016877e-23j)
 (2.217832265646781877e-06+1.474613851872380290e-07j), (1.546478708618399999e-12+7.216893573991371675e-15j), (3.243314894040824907e-19+1.172764429130580715e-22j)
