 (4.073209742981998118e-07+2.701808288610710335e-11j), (9.086929194833745120e-07+2.783764264507983483e-11j), (9.309066335339449840e-07+3.715568756687962628e-11j)
 (4.073208638779078054e-07+1.035113148444588474e-10j), (9.086928969946759146e-07+1.066512054897218828e-10j), (9.309066130348980864e-07+1.423502846069982010e-10j)
 (4.073192431529342643e-07+3.965706822461265312e-10j), (9.086925669063756620e-07+4.086004184650583486e-10j), (9.309063121503393267e-07+5.453650988457293626e-10j)
 (4.072954583089524508e-07+1.519307928157494974e-09j), (9.086877220028579035e-07+1.565408945434083323e-09j), (9.309018958297793589e-07+2.089089767247975767e-09j)
 (4.069472318757196125e-07+5.819150628115075646e-09j), (9.086166365540175353e-07+5.996496878752286845e-09j), (9.308370861926757558e-07+7.986543199542913844e-09j)
 (4.020200959027817672e-07+2.220252267752315232e-08j), (9.075791749350427933e-07+2.292454615786525535e-08j), (9.298886169877151468e-07+2.967182680925127431e-08j)
 (3.551382656073609996e-07+7.465938352335436118e-08j), (8.933981937767740019e-07+8.520047445036366678e-08j), (9.165355179434004321e-07+8.629429069584991246e-08j)
 (2.686217338983389695e-07+7.177801737207397042e-08j), (7.697485698866540957e-07+2.269728723451263959e-07j), (7.896858325135229298e-07+2.370774899769478163e-07j)
 (2.191539517086620015e-07+6.435189263707195366e-08j), (4.782254751744186008e-07+2.556930909297474823e-07j), (4.825663919980274726e-07+2.649087789866367043e-07j)
 (1.606136417036130965e-07+6.507997361610906047e-08j), (2.947335367293884966e-07+1.504878761645822777e-07j), (2.968297121261035182e-07+1.520401263783633283e-07j)
 (1.143424440097621490e-07+5.868467319882906376e-08j), (2.275772073766745293e-07+1.095186575055895617e-07j), (2.301146332310927019e-07+1.108663659156899659e-07j)
 (6.044271975391772242e-08+9.224498298910296847e-08j), (1.148429477733388551e-07+1.452915426468553262e-07j), (1.153489409407543670e-07+1.465305042037399361e-07j)
 (-4.257661123237768204e-08+9.320339633106040349e-08j), (-1.256898313506587146e-08+1.100523363201384446e-07j), (-1.221906348383360906e-08+1.101969898239476504e-07j)
