Frequencies,Real 1,Real 2,Real 3,Imaginary 1,Imaginary 2,Imaginary 3
0.11925,-0.178020536,0.9636022819499918,-0.199447565,0.18901915548504608,-0.973889835,-0.125739204
0.11925,0.2485272859350488,-0.152086299,-0.956610655,-0.247574973,0.076647841,-0.96583215
0.11925,0.9521254523794932,0.21986450314277559,0.21240697537728342,-0.950251752,-0.213690657,0.22662283976349892
0.178875,-0.178604346,0.9626240784132524,-0.203605921,0.18814745856305057,-0.979669926,-0.069623051
0.178875,0.24828449216694898,-0.156142623,-0.956020027,-0.247419028,0.021324295,-0.968673887
0.178875,0.9520794601169408,0.22130152484599708,0.2111168792973938,-0.950465338,-0.199479598,0.2383768690871958
0.2385,-0.179008814,0.9639710365197082,-0.196763018,0.1874375173480257,-0.973730856,-0.129288037
0.2385,0.24831225743937724,-0.149251709,-0.95711282,-0.246273161,0.080832028,-0.965823852
0.2385,0.9519962538006456,0.22019030010117735,0.21264845282975853,-0.950903101,-0.212871799,0.2246528214464276
0.298125,-0.179467583,0.963336673,-0.199433803,0.18532296561150888,-0.978421791,-0.091357522
0.298125,0.24825724626324552,-0.151814993,-0.956723862,-0.246281019,0.043755935029840265,-0.968210245
0.298125,0.9519242229175946,0.22121180628376194,0.21190943958070513,-0.951315436,-0.201931218,0.23285773620259145
0.35775,-0.17980252,0.9643759567202783,-0.194036254,0.1844691537108611,-0.98255734,-0.023499023
0.35775,0.24824285667891738,-0.146384095,-0.95757359,-0.246318113,-0.023071989,-0.968914377
0.35775,0.9518647687668398,0.22034225841459462,0.21307921329216212,-0.951471765,-0.18452305,0.24627774006733386
0.477,-0.180231352,0.9678205052881695,-0.17561358,0.18119547420106033,-0.98312735,-0.025076149
0.477,0.24807407290443367,-0.12804111,-0.960242016,-0.245944169,-0.020611324,-0.969064827
0.477,0.9518276704042714,0.2166308925542601,0.21701415217428133,-0.952197283,-0.181757494,0.24552911776976807
0.59625,-0.180171492,0.9644488721424439,-0.193330304,0.17877924062809925,-0.98305498,0.040507897480845205
0.59625,0.24793679297321738,-0.145671976,-0.957761464,-0.245949356,-0.084516837,-0.965590917
0.59625,0.9518747712769483,0.22049500747858036,0.21287642303336082,-0.952652559,-0.16266472,0.2568915954270224
0.7155,-0.180161118,0.9660434430080967,-0.185208094,0.17736712516298686,-0.984141901,-0.002371092
