Frequencies,Real 1,Real 2,Real 3,Imaginary 1,Imaginary 2,Imaginary 3
0.11925,0.7286948320523206,-0.676861194,-0.104224594,0.8219193921481396,-0.562466461,-0.089888782
0.11925,-0.631080849,-0.722778252,0.281653263,-0.517509183,-0.803323099,0.29471383414591107
0.11925,0.2659714334737894,0.13946513151980547,0.9538389138979712,0.23797638246186698,0.19571274514768663,0.9513483919033657
0.178875,0.7263528197412962,-0.67926211,-0.104950311,0.8253123696157855,-0.556914739,-0.09330309
0.178875,-0.633491586,-0.720852653,0.2811758587445267,-0.512076382,-0.807784571,0.2919963443487821
0.178875,0.2666458172016418,0.1377477387541428,0.9539001879845654,0.23798586400348423,0.193209886,0.9518574832198002
0.2385,0.7228337046747414,-0.682926436,-0.105465249,0.8260634049532737,-0.555251017,-0.096517142
0.2385,-0.63718531,-0.717770656,0.28071367397454894,-0.510388216,-0.809677268,0.2897008627332387
0.2385,0.26740664965296956,0.1357083976462606,0.9539795147327108,0.2390044345100437,0.19005006923824175,0.9522383375327176
0.298125,0.7187453472228968,-0.687187785,-0.10572641,0.8254504045267593,-0.555775897,-0.098715663
0.298125,-0.641436988,-0.714051811,0.28051488691838433,-0.510889595,-0.809948062,0.28805547823431343
0.298125,0.2682605385936137,0.13380193964452866,0.9540090798209554,0.24004885164561526,0.1873427059542771,0.9525120783220288
0.35775,0.7146385564014889,-0.691448264,-0.105787671,0.8240381686932421,-0.557564049,-0.100416273
0.35775,-0.645701175,-0.710253072,0.2803757580736207,-0.512660289,-0.809308581,0.28670376500110495
0.35775,0.2690013494752525,0.13206010366658313,0.9540431871776374,0.24112346345243935,0.18477540994078084,0.9527421074214767
0.477,0.7064464992631668,-0.699816892,-0.105781199,0.8204483889281704,-0.56247222,-0.102417984
0.477,-0.654041396,-0.702607469,0.28030803921739655,-0.517490472,-0.806765,0.2851908951578763
0.477,0.27048696111647774,0.12883735002074578,0.9540638034773172,0.24303920028589246,0.1809840798552389,0.9529830585919911
0.59625,0.6984532452088977,-0.707807675,-0.105694651,0.8162705798085641,-0.56827099,-0.103780648
0.59625,-0.661999367,-0.695109656,0.2803201818980435,-0.523193962,-0.803425469,0.28421047585090736
0.59625,0.27188214868256344,0.1258207488056401,0.9540698278416211,0.24488858412743675,0.17769524149415586,0.9531285236075945
0.7155,0.6907380455045833,-0.715342533,-0.105669358,0.8125310722665009,-0.573579875,-0.103920081
0.7155,-0.669525251,-0.687894138,0.280245595,-0.528383647,-0.800006729,0.28425332734381104
0.7155,0.273160925,0.12282799112679356,0.9540945412173519,0.24617875180703264,0.1760549896952848,0.9531005522829816
0.954,0.6760750158241101,-0.729239243,-0.10551161,0.8051672836444148,-0.583744248,-0.104634118
0.954,-0.683410581,-0.674126556,0.2801845184103745,-0.538431842,-0.7935052,0.2836206069732861
0.954,0.27544972398582535,0.11731800230360694,0.9541299365870582,0.24858961458958925,0.1720236927631715,0.9532109171879649
1.1925,0.6621389422944722,-0.741924108,-0.105454438,0.7985324536053616,-0.592807403,-0.104524175
1.1925,-0.696128867,-0.661065781,0.2799939890115307,-0.547386304,-0.787356142,0.2836168887379544
1.1925,0.2774466107760021,0.11198504563317485,0.9541921859475926,0.25042794244353955,0.1692621882256211,0.9532240855541627
1.431,0.6491902286353333,-0.753274664,-0.105495629,0.7922483120622263,-0.601215287,-0.104320612
1.431,-0.707504316,-0.648937491,0.27985313208903817,-0.555673676,-0.781474483,0.2837682129458695
1.431,0.27926634311995463,0.10703930571041236,0.9542289539903096,0.25212968436035377,0.1668466695081418,0.9532013486868287
1.908,0.6260450763155508,-0.772613186,-0.105529271,0.7805984177693942,-0.616324693,-0.103971068
