 (5.491946978392261374e-17+2.713047543378675101e-12j), (8.659175425858786779e-17+2.736272272139127707e-12j), (8.724505519459300646e-17+3.710061199220765098e-12j)
 (-1.051475203343087948e-15+1.039419202351176608e-11j), (-5.868289720341241900e-16+1.048317029810870022e-11j), (-5.775163083026578251e-16+1.421393756650744422e-11j)
 (-1.729118905221096907e-14+3.982208915550501978e-11j), (-1.047126071892042053e-14+4.016298150442206135e-11j), (-1.033482718758852682e-14+5.445624537423026975e-11j)
 (-2.556563205214353916e-13+1.525657160198299023e-10j), (-1.555546440448128535e-13+1.538717356838673135e-10j), (-1.535522649481652519e-13+2.086317527381434708e-10j)
 (-3.754295870509347030e-12+5.844994269506274600e-10j), (-2.285053483443578408e-12+5.895028849613555804e-10j), (-2.255663673380053814e-12+7.992904467870844790e-10j)
 (-5.508994432869656019e-11+2.238857751080755277e-09j), (-3.353449556092117353e-11+2.258018650547419039e-09j), (-3.310327652123902735e-11+3.061287721956472876e-09j)
 (-8.048750950877814237e-10+8.551212793028531669e-09j), (-4.906408054291572680e-10+8.624158541875928413e-09j), (-4.843465124635431645e-10+1.167558213424922691e-08j)
 (-1.106422116428927959e-08+3.135551368859259552e-08j), (-6.878057014961001088e-09+3.161089446254638559e-08j), (-6.792696285215680126e-09+4.196597099322358495e-08j)
 (-8.445930008132330748e-08+7.456124454874808476e-08j), (-6.120403146930849415e-08+7.494356513023148397e-08j), (-6.064330001395638864e-08+8.548950951020669476e-08j)
 (-1.595645458522659998e-07+5.036418236907247669e-08j), (-1.379037251924318536e-07+5.119119743180192313e-08j), (-1.371496517990179170e-07+5.132828111419819460e-08j)
 (-1.835103688688576693e-07+2.667585496977595221e-08j), (-1.627177861650585902e-07+2.691893568973460461e-08j), (-1.621315158393962833e-07+2.697990390866332215e-08j)
 (-1.989349882740941546e-07+1.698896047341722068e-08j), (-1.790464385424611824e-07+1.794225945155391861e-08j), (-1.783805280913776722e-07+1.803537289370046422e-08j)
 (-2.083569507389445500e-07+1.052018093832461847e-08j), (-1.895679768196776604e-07+1.054028389812555406e-08j), (-1.887959540973647272e-07+1.073568283528710219e-08j)
