 (2.287972923790156419e-16+9.159381014373560728e-12j), (1.710851053374741854e-32+2.764094677365975805e-23j), (4.151801852122294007e-49+2.754214671974638915e-35j)
 (-9.467005776855692975e-19+1.384692386921483284e-11j), (-1.780207465046399161e-33+6.317238492924857849e-23j), (-2.831527974168062905e-50+9.516107183900613329e-35j)
 (-5.260165456944000844e-16+2.093343428357219389e-11j), (8.293130404613034414e-32+1.443782026081916685e-22j), (-4.104668665092632511e-48+3.287917122699271311e-34j)
 (-1.726042068440814016e-15+3.164664400697805367e-11j), (9.444990118284584971e-31+3.299711630812123367e-22j), (-1.666218915726391061e-46+1.136010634563740154e-33j)
 (-4.468653034720460032e-15+4.784260718822189708e-11j), (6.402569784688504227e-30+7.541371604245137588e-22j), (-2.976159347683118684e-45+3.925038560844037759e-33j)
 (-1.073678513560603052e-14+7.232725986091575046e-11j), (3.710095528642679775e-29+1.723553181852556265e-21j), (-4.168503877189438943e-44+1.356142881676293848e-32j)
 (-2.506236478345083376e-14+1.093425449325212127e-10j), (2.024519865310421673e-28+3.939118270213334278e-21j), (-5.322181418217961195e-43+4.685618731785911977e-32j)
 (-5.780294206479149785e-14+1.653013216639074838e-10j), (1.077570690427818593e-27+9.002711184447424380e-21j), (-6.539891838636034091e-42+1.618931205517547060e-31j)
 (-1.326303089309328422e-13+2.498983760382453974e-10j), (5.674745329951032644e-27+2.057536441251809016e-20j), (-7.905846240314045147e-41+5.593578329178073639e-31j)
 (-3.036454231688231211e-13+3.777899927560935801e-10j), (2.974706787432979976e-26+4.702421697078458665e-20j), (-9.489648973210899971e-40+1.932639205870116241e-30j)
 (-6.944937308992555642e-13+5.711330012270499534e-10j), (1.556213250171614235e-25+1.074719664079430555e-19j), (-1.135564006235154446e-38+6.677459054306974350e-30j)
 (-1.587760686212298986e-12+8.634229342188003386e-10j), (8.134148332438172452e-25+2.456223438497256534e-19j), (-1.357021233851325684e-37+2.307120511365500725e-29j)
 (-3.629276048996507337e-12+1.305295397018100965e-09j), (4.249973956770852077e-24+5.613560196507290669e-19j), (-1.620699987572136205e-36+7.971244380074907184e-29j)
 (-8.295012996371685261e-12+1.973292758699738880e-09j), (2.220150764639388825e-23+1.282932930863548099e-18j), (-1.935081255980752172e-35+2.754067921935897177e-28j)
 (-1.895800737816244963e-11+2.983104724665421597e-09j), (1.159671674666108528e-22+2.931961226288921505e-18j), (-2.310093561248854625e-34+9.514948443777014458e-28j)
 (-4.332591817313618173e-11+4.509541259502770515e-09j), (6.056850156875343588e-22+6.700183090169110852e-18j), (-2.757395195691565882e-33+3.287002222672374060e-27j)
 (-9.900757200587198382e-11+6.816575747141245954e-09j), (3.162941224566654743e-21+1.530932742334080867e-17j), (-3.290552262027775925e-32+1.135288360082728574e-26j)
 (-2.262120742988826198e-10+1.030224100533269371e-08j), (1.651172638248265293e-20+3.496960597027934118e-17j), (-3.924895972605372257e-31+3.919338313485680766e-26j)
 (-5.166521299576285481e-10+1.556470176321449563e-08j), (8.613354986082457398e-20+7.982105880010387426e-17j), (-4.676430712718203877e-30+1.351647450297466291e-25j)
 (-1.178977263607173756e-09+2.349596120863688225e-08j), (4.485602942388746914e-19+1.819038016954696185e-16j), (-5.558081348818566211e-29+4.650224426691107244e-25j)
 (-2.685090606731387856e-09+3.540248167464373586e-08j), (2.327046909179593949e-18+4.130159897970094108e-16j), (-6.568812377600378166e-28+1.591168118188504339e-24j)
 (-6.088066102052133404e-09+5.311723422084581533e-08j), (1.196794781900983729e-17+9.299706287694429443e-16j), (-7.664804650352494525e-27+5.377643175895371865e-24j)
 (-1.366697116770645693e-08+7.894428798579484175e-08j), (6.036539691853700980e-17+2.055209157401682565e-15j), (-8.691173908287669823e-26+1.767830353235515974e-23j)
 (-3.002067666141506428e-08+1.149267914585321178e-07j), (2.918027730383582947e-16+4.360190455711283805e-15j), (-9.256129430392004973e-25+5.469838688650430868e-23j)
 (-6.304244610577869822e-08+1.603017804645204628e-07j), (1.291382905680074582e-15+8.499022613629185483e-15j), (-8.652039001714687725e-24+1.492171148195065846e-22j)
 (-1.217446257684963159e-07+2.064708079270700808e-07j), (4.843392017333766527e-15+1.413967654790076862e-14j), (-6.325616454763853681e-23+3.213782469435520355e-22j)
